url,result
https://ad69e733ebae8d264bccaa38d68830e8.webredirect.org/optty//?fy9=,1
https://arks.ganeshasolutionz.in//wp-includes/fonts/Language/Language/Caption/Chase2.html,1
https://atendimento-sac-pg.joomla.com/br/netflix/index.php?q=dylay7q7dyla-uvab-dylauvabuvab-yvd9uvab&s=dylay7q7dyla-uvab-dylauvabuvab-yvd9uvab&n=dylay7q7dyla-uvab-dylauvabuvab-yvd9uvab,1
http://atendimento-sac-pg.joomla.com/homen/,1
https://atendimento-pg-series.joomla.com/br/netflix/index.php?q=2sptq6sf2spt-zkat-2sptzkatzkat-1ailzkat&s=2sptq6sf2spt-zkat-2sptzkatzkat-1ailzkat&n=2sptq6sf2spt-zkat-2sptzkatzkat-1ailzkat,1
http://atendimento-sac-pg.joomla.com/conta/long/,1
https://infomaniak.com.login.management.fernemillen.com/?mail=true,1
http://webmasteremailsupdating2020.hexat.com/index,1
https://randomhere.ned.online-wb2.xyz/x/5fae249e751071b40ec6caf5ae9b32f55eb0fe2c20384/login.php?websrc=59c275dc2e97dd3b896ed4ff2b82a8fd,1
http://cartetitolari.mps.it.id1998199.xyz/mps.php,1
http://cartetitolari.mps.it.id1998199.xyz/mps/a1b2c3/d2aa735b59c6583b93e56b9f76f78221/login/?,1
http://cartetitolari.mps.it.id1998199.xyz/mps/,1
http://cartetitolari.mps.it.id1998199.xyz/mps/a1b2c3/d2aa735b59c6583b93e56b9f76f78221?,1
http://cartetitolari.mps.it.id1998199.xyz/mps/a1b2c3/d2aa735b59c6583b93e56b9f76f78221/,1
https://n3plvwcpnl349341.prod.ams3.secureserver.net/~auth/web/de/,1
https://t.hotmarketstudio.com/goods/30/9926.html,1
https://storage.googleapis.com/security-updates204.appspot.com/%2525%2525%2525%2525%2525%2525%2525/login1.html#,1
https://hl7.org.ar/wp-admin/lord/,1
http://blowiest-stowage.000webhostapp.com/,1
http://vampastla.000webhostapp.com/,1
https://www.dofus.mom/fr/mmorpg/dofus/valim/,1
https://beau-mondes.com/css/scam_wellsfargo_xhack/wells_fargo/Myaccount,1
https://zoosummit.ru/wp-admin/maint/MTB-ELA7A/dashboard/login.php?7a6f=,1
https://succesmantra.com/smbc.co.jp/jp/smbc.co.jp/smbc.co.jp/pt/,1
http://bitoex-claimextrabonuses.000webhostapp.com/,1
